time,outfall_gate_setting,inlet_gate_setting,pump_setting,pump_station_depth_m,pump_station_full_ratio,pump_station_operating_ratio,discharge_pipe_depth_m,discharge_pipe_full_ratio,discharge_node_depth_m,trunk_downstream_depth_m,trunk_drop_depth_m,pump_flow_cms,inlet_gate_flow_cms,outfall_gate_flow_cms
01:32:00,0.0,1.0,1.0,0.519883144846469,0.2166179770193621,0.6498539310580862,0.4220581766745081,0.23447676481917118,0.3525708799631413,0.2954581974667646,0.2615539238448273,0.2698812282499401,0.26111728465605466,0.0
01:33:00,0.0,1.0,1.0,0.4998599342955268,0.20827497262313616,0.6248249178694084,0.47355353366750796,0.26308529648194884,0.35492154981750734,0.28265720574924663,0.26141897005633435,0.24992945008672984,0.24205354561050246,0.0
01:34:00,0.0,1.0,1.0,0.47835061248723854,0.19931275520301606,0.5979382656090482,0.5298201779204436,0.2943445432891353,0.42090665473646227,0.2720889656247642,0.26120298648672596,0.23917484274650735,0.22975458072370408,0.0
01:35:00,0.0,1.0,1.0,0.45554689188300995,0.18981120495125414,0.5694336148537624,0.5874729837457884,0.3263738798587713,0.5257131422343957,0.26331296577974295,0.26091413948876974,0.2277729414590416,0.21841600120358826,0.0
01:36:00,0.0,1.0,1.0,0.43406250866908197,0.18085937861211748,0.5425781358363524,0.6337883445794529,0.3521046358774738,0.5658785253874568,0.25562373856516635,0.2606558156229875,0.21703078249975802,0.20857358292204667,0.0
01:37:00,0.0,1.0,1.0,0.41476694553338633,0.172819560638911,0.5184586819167328,0.672230177233585,0.3734612095742139,0.5610912174388064,0.24843537018022122,0.2606161739857538,0.2073830491742353,0.19979041275296083,0.0
01:38:00,0.0,1.0,1.0,0.39754136044830646,0.1656422335201277,0.4969267005603831,0.7165649237500058,0.3980916243055588,0.6216312124164945,0.24161284779099254,0.26079467521970406,0.19877030153649874,0.19204748170638264,0.0
01:39:00,0.0,1.0,1.0,0.3823982846272654,0.15933261859469391,0.4779978557840817,0.7613444328445292,0.4229691293580718,0.702984283087115,0.23509188342901224,0.2611347016742711,0.19119881313646325,0.18531384537545217,0.0
01:40:00,0.0,1.0,1.0,0.3690272995942852,0.15376137483095217,0.4612841244928565,0.7953572294663779,0.441865127481321,0.7034649401585463,0.22886778666787175,0.2615902753287006,0.18451335878729178,0.1792648568500122,0.0
01:41:00,0.0,1.0,1.0,0.3571015460384975,0.14879231084937394,0.44637693254812183,0.8303503769945993,0.4613057649969996,0.7234273337514906,0.22292822906357573,0.2621234489997601,0.17855051430740432,0.17387597485187703,0.0
01:42:00,0.0,1.0,1.0,0.3463905497528556,0.1443293957303565,0.43298818719106946,0.8713837268091794,0.4841020704495441,0.8078664560233164,0.21727672476537724,0.2627004216342129,0.1731950852320405,0.16878196794086828,0.0
01:43:00,0.0,1.0,1.0,0.33467465306194816,0.13944777210914508,0.41834331632743516,0.9034123594955474,0.5018957552753042,0.8200118285962303,0.21240101065377187,0.26328146284077986,0.16733707988681318,0.1621048868763076,0.0
01:44:00,0.0,1.0,1.0,0.3219667022522149,0.13415279260508955,0.4024583778152686,0.9336743468318102,0.5187079704621167,0.8256081775587474,0.20836108587101798,0.26381330756017884,0.16098307337387047,0.15577785686759402,0.0
01:45:00,0.0,1.0,1.0,0.3099902728943362,0.12916261370597343,0.3874878411179203,0.9709037308560308,0.5393909615866838,0.906423002058464,0.2049656422443871,0.264252963323366,0.15499487545038665,0.15027306699101647,0.0
